n_arms,true_winner_idx,winner_idx,traffic,wins,baseline,conversion
22.0,14.0,14.0,2701.0,683.0,0.19877512716734272,0.2528693076638282
22.0,17.0,17.0,1260.0,332.0,0.19498524564472036,0.2634920634920635
22.0,3.0,3.0,22912.0,6271.0,0.17962355477202446,0.27369937150837986
22.0,11.0,11.0,11090.0,2958.0,0.2154913561767273,0.266726780883679
22.0,12.0,12.0,58808.0,15146.0,0.1947713276591517,0.2575499931982043
22.0,7.0,7.0,100022.0,26574.0,0.21158051534229372,0.265681550058987
22.0,10.0,10.0,22232.0,6760.0,0.20169216940292356,0.3040662108672184
22.0,18.0,18.0,49351.0,14764.0,0.21362710896035822,0.2991631375250755
22.0,9.0,2.0,1549.0,363.0,0.19279322246266684,0.2343447385409942
22.0,16.0,17.0,10424.0,2943.0,0.22718648110847156,0.2823292402148887
22.0,15.0,14.0,3363.0,706.0,0.19221385911212147,0.20993160868272376
22.0,4.0,4.0,22448.0,5894.0,0.21563711647834635,0.2625623663578047
22.0,0.0,0.0,100022.0,24473.0,0.18356331088564756,0.24467617124232668
22.0,12.0,12.0,69800.0,18801.0,0.20808988077664273,0.26935530085959886
22.0,17.0,17.0,100022.0,29291.0,0.2010950925884394,0.2928455739737258
22.0,7.0,7.0,100022.0,24633.0,0.18719467549624325,0.24627581931974965
